Date,Service Category,Program Area,Program Type,Provider,Program Site Name,Borough,Street Address,City,State,Postcode,Latitude,Longitude,Community Board,Community Name,Council District,Census Tract 2010,NDA,NTA,BIN,BBL,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
06/01/2019,Immigrant Services,CSBG,NDA Healthy Families,Council of Jewish Organizations of Flatbush Inc,COJO Flatbush Main Office,Brooklyn,1523 Avenue M,Brooklyn,NY,11230,40.61808,-73.95943,Brooklyn CD 014,Midwood,Council District 044 Brooklyn,768,Brooklyn Neighborhood Development Area 014,BK43,3406670,3067350044,POINT (-73.95943 40.61808),13513,60,2,18,43
06/01/2019,Educational Services,Literacy and Immigrant Services,Adult Literacy - BENL/ESOL (Discretionary),Urban Health Plan Inc,Project H.O.P.E.,Bronx,854 Hunts Point Avenue,Bronx,NY,10474,40.8181,-73.88842,Bronx CD 002,Hunts Point,Council District 017 Bronx,11502,Bronx Neighborhood Development Area 002,BX27,2006432,2027620037,POINT (-73.88842 40.8181),12343,8,5,43,24
06/01/2019,Educational Services,SYEP,Younger Youth (YY),"CAMBA, Inc.",21 Snyder Avenue,Brooklyn,21 Snyder Avenue,Brooklyn,NY,11226,40.64857,-73.95753,Brooklyn CD 014,Erasmus,Council District 040 Brooklyn,794,Brooklyn Neighborhood Development Area 014,BK95,3117220,3051030008,POINT (-73.95753 40.64857),13510,60,2,11,43
06/01/2019,Educational Services,SYEP,Younger Youth (YY),YM-YWHA of Washington Heights Inwood,YM & YWHA of Washington Heights & Inwood,Manhattan,54 Nagle Avenue,NYC,NY,10040,40.85999,-73.92913,Manhattan CD 012,Washington Heights North,Council District 010 Manhattan,285,Manhattan Neighborhood Development Area 012,MN35,1064146,1021720064,POINT (-73.92913 40.85999),13098,47,4,39,22
06/01/2019,Family Support,Cornerstone,Cornerstone,St Vincent's Services Inc,Wyckoff - Heartshare St. Vincent's,Brooklyn,280 Wyckoff Street,Brooklyn,NY,11217,40.68336,-73.98394,NULL,NULL,Council District 33 Brooklyn,127,NULL,BK38,3336056,3003940001,POINT (-73.98394 40.68336),17619,14,2,38,50
06/01/2019,Educational Services,Cornerstone,Cornerstone,ST. NICKS ALLIANCE CORP.,Sumner- St. Nicks,Brooklyn,862 Park Ave.,Brooklyn,NY,11206,40.69858,-73.94074,NULL,NULL,Council District 36 Brooklyn,28502,NULL,BK35,3324728,3015800001,POINT (-73.94074 40.69858),17213,69,2,49,51
06/01/2019,Educational Services,CSBG,High School,Research Foundation of CUNY,Urban Assembly School for Collaborative Healthcare,Brooklyn,999 Jamaica Avenue,Brooklyn,NY,11208,40.69115,-73.86833,Brooklyn CD 005,park-cemetery-etc-Brooklyn,Council District 037 Brooklyn,1180,NDA Not-defined,BK99,3090738,3040940001,POINT (-73.86833 40.69115),17215,45,2,37,47
06/01/2019,Educational Services,SYEP,Younger Youth (YY),Brooklyn Neighborhood Improvement Association,"Brooklyn Neighborhood Improvement Association, Inc.",Brooklyn,465 Sterling Place,Brooklyn,NY,11238,40.67474,-73.96263,308,Crown Heights North,35,215,0,BK64,3029252,3011670078,POINT (-73.96263 40.67474),13829,16,2,48,49
06/01/2019,Educational Services,Compass,COMPASS Middle School,"Westhab, Inc.",West Prep Academy,Manhattan,150 WEST 105 STREET,MANHATTAN,NY,10025,40.79938,-73.96531,NULL,NULL,Council District 07 Manhattan,189,NULL,MN12,1076625,1018590001,POINT (-73.96531 40.79938),12422,20,4,23,15
06/01/2019,Educational Services,Cornerstone,Cornerstone,Sunnyside Community Services Inc,Woodside - Sunnyside,Queens,50-19 Broadway,Queens,NY,11377,40.75497,-73.91047,NULL,NULL,Council District 26 Queens,163,NULL,QN70,4431001,4007380050,POINT (-73.91047 40.75497),14787,39,3,33,72
